ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: produkt_maengde","Meta: _produkt_maengde","Meta: produkt_beskrivelse","Meta: _produkt_beskrivelse","Meta: oprindelsesland","Meta: _oprindelsesland","Meta: naeringsindhold","Meta: _naeringsindhold","Meta: ingredienser","Meta: _ingredienser"
288,simple,,,"Hel mørbrad fra ungkvæg",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,720,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Hel-morbrad-fra-ungkvaeg-1.jpg,,,,,,,,,0,"Egen avl","1,6 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
289,simple,,,Inderlår,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,290,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Inderlar-1.jpg,,,,,,,,,0,"Egen avl","1,38 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
290,simple,,,"Kamsteg med svær og ridser",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,225,"Kød & Fjerkræ > Svinekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Kamsteg-med-svaer-og-ridser-1.jpg,,,,,,,,,0,"Egen avl","1,5 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
291,simple,,,"Klump fra ungdyr",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,250,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Klump-fra-ungdyr-1.jpg,,,,,,,,,0,"Egen avl","1,4 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
292,simple,,,Kraftben,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,35,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Kraftben-1.jpeg,,,,,,,,,0,"Egen avl","1 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
293,simple,,,,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,95,"Kød & Fjerkræ > Svinekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Nakkekotelet-1.jpg,,,,,,,,,0,"Egen avl","500 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
294,simple,,,"Osso buco",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,250,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Osso-buco-1.jpg,,,,,,,,,0,"Egen avl","1,42 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
295,simple,,,"Skovkylling bryst med skind",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,189,"Kød & Fjerkræ > Kylling",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Skovkylling-bryst-med-skind-1.jpg,,,,,,,,,0,Gothenborg,"750 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
296,simple,,,"Skovkylling hel",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,257,"Kød & Fjerkræ > Kylling",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Skovkylling-hel-1.jpeg,,,,,,,,,0,Gothenborg,"1,9 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
297,simple,,,"Skovkylling hele lår",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,175,"Kød & Fjerkræ > Kylling",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Skovkylling-hele-lar-1.jpg,,,,,,,,,0,Gothenborg,"1 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
298,simple,,,"Skovkylling lever",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,79,"Kød & Fjerkræ > Kylling",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Skovkylling-lever-1.jpg,,,,,,,,,0,Gothenborg,"350 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
299,simple,,,"Skovkylling underlår",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,102,"Kød & Fjerkræ > Kylling",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Skovkylling-underlar-1.jpg,,,,,,,,,0,Gothenborg,"700 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
300,simple,,,Svinemørbrad,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,99,"Kød & Fjerkræ > Svinekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Svinemorbrad-1.jpg,,,,,,,,,0,Søbogaard,"600 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
301,simple,,,Tykstegsfilet,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,400,"Kød & Fjerkræ > Oksekød",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Tykstegsfilet-1.jpg,,,,,,,,,0,"Egen avl","1,8 kg",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
361,simple,,,"Abrikos marmelade",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,33,"Marmelade & Honning > Marmelade",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Abrikos-marmelade-1.jpg,,,,,,,,,0,"Les Moulins Mahjoub","400 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
362,simple,,,"Appelsin marmelade syrlig",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,60,"Marmelade & Honning > Marmelade",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Appelsin-marmelade-syrlig-1.jpg,,,,,,,,,0,"Les Moulins Mahjoub","240 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
363,simple,,,"Blåbær marmelade sødet med æble",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,37,"Marmelade & Honning > Marmelade",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Blabaer-marmelade-sodet-med-aeble-1.jpg,,,,,,,,,0,Søbogaard,"400 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
